,Volcano Name,Country,Region,Latitude,Longitude,Elevation,Primary Volcano Type,Status
573,Jalajala,Philippines,Luzon-Philippines,14.35,121.33,743.0,Fumarole field,Fumarolic
574,Jalua,Eritrea,Africa-NE,15.042,39.82,713.0,Stratovolcano,Holocene
575,Jan Mayen,Jan Mayen,Atlantic-N-Jan Mayen,71.08,-8.17,2277.0,Stratovolcano,Historical
576,Jaraguay Volc Field,Mexico,Mexico,29.33,-114.5,960.0,Cinder cone,Holocene
577,"Jayu Khota, Laguna",Bolivia,Bolivia,-19.45,-67.417,3650.0,Maars,Holocene
578,Jefferson,United States,US-Oregon,44.692,-121.8,3199.0,Stratovolcano,Varve Count
579,Jingpohu,China,China-E,44.08,128.83,500.0,Volcanic field,Radiocarbon
580,Jocotitlan,Mexico,Mexico,19.733,-99.758,3900.0,Stratovolcano,Radiocarbon
582,Jordan Craters,United States,US-Oregon,43.03,-117.42,1473.0,Volcanic field,Holocene
583,"Joya, La",Nicaragua,Nicaragua,11.92,-85.98,300.0,Fissure vent,Holocene
584,Kaba,Indonesia,Sumatra,-3.52,102.62,1952.0,Stratovolcano,Historical
585,Kabargin Oth Group,Georgia,Georgia,42.55,44.0,3650.0,Cinder cone,Holocene
586,Kadovar,Papua New Guinea,New Guinea-NE of,-3.62,144.62,365.0,Stratovolcano,Holocene
587,Kagamil,United States,Aleutian Is,52.97,-169.72,893.0,Stratovolcano,Historical
588,Kaguyak,United States,Alaska Peninsula,58.62,-154.05,901.0,Stratovolcano,Holocene
589,Kaikata Seamount,Japan,Volcano Is-Japan,26.666999999999998,141.0,-162.0,Submarine volcano,Fumarolic
590,Kaikohe-Bay of Islands,New Zealand,New Zealand,-35.3,173.9,388.0,Volcanic field,Radiocarbon
591,Kaileney,Russia,Kamchatka,57.8,160.67,1582.0,Shield volcano,Holocene
592,Kaitoku Seamount,Japan,Volcano Is-Japan,26.122,141.102,-10.0,Submarine volcano,Historical
593,Kalatungan,Philippines,Mindanao-Philippines,7.95,124.8,2824.0,Stratovolcano,Holocene
594,Kambalny,Russia,Kamchatka,51.3,156.87,2156.0,Stratovolcano,Holocene
595,Kamen,Russia,Kamchatka,56.02,160.593,4585.0,Stratovolcano,Holocene
596,Kana Keoki,Solomon Is.,Solomon Is-SW Pacifi,-8.75,157.03,-700.0,Submarine volcano,Holocene
597,Kanaga,United States,Aleutian Is,51.92,-177.17,1307.0,Stratovolcano,Historical
598,Kanlaon,Philippines,Philippines-C,10.412,123.132,2435.0,Stratovolcano,Historical
599,Kao,Tonga,Tonga-SW Pacific,-19.667,-175.033,1030.0,Stratovolcano,Holocene
